Country,Sector,Share (%)
China,AFCID Dust,12.8
China,Residential Biofuel Combustion,12.7
China,Agriculture,11.0
China,Windblown Dust,9.2
China,Industry Coal,9.1
China,Waste,8.9
China,Road Transport,6.2
China,Residential Coal Combustion,5.3
China,Industry NonCoal,5.2
China,Energy NonCoal,4.8
China,Energy Coal,4.7
China,Remaining Sources,3.8
China,Commercial Combustion,1.8
China,NonRoad Transport,1.4
China,Other Combustion,1.3
China,Other Open Fire,0.9
China,Agricultural Waste Burning,0.5
China,International Shipping,0.3
China,Solvent,0.2
China,Residential Other Combustion,0.0
