Entity,Code,Year,Electric cars sold,Non-electric car sales
China,CHN,2019,1060000,20140000
China,CHN,2020,1140000,18860000
China,CHN,2021,3250000,18416667
China,CHN,2022,5900000,14444828
China,CHN,2023,8100000,13215790
China,CHN,2024,11300000,12241667
USA,USA,2019,325000,15151191
USA,USA,2020,294000,12488609
USA,USA,2021,630000,12774255
USA,USA,2022,990000,12388378
USA,USA,2023,1390000,13241579
USA,USA,2024,1520000,13680000
Mexico,MEX,2019,1690,1124977
Mexico,MEX,2020,3800,771710
Mexico,MEX,2021,6500,826833
Mexico,MEX,2022,8400,866600
Mexico,MEX,2023,16100,1057233
Mexico,MEX,2024,27100,1204718
Brazil,BRA,2019,1940,2307584
Brazil,BRA,2020,2600,1622400
Brazil,BRA,2021,13900,1496970
Brazil,BRA,2022,18500,1523167
Brazil,BRA,2023,52000,1681333
Brazil,BRA,2024,125000,1828125
India,IND,2019,687,2861813
India,IND,2020,3143,2616024
India,IND,2021,12050,2926974
India,IND,2022,48023,3382191
India,IND,2023,82270,3835349
India,IND,2024,92095,4293381
